dir,pong_x,pong_y,bot_x,quality,win
1,735,592,1016,424,True
1,632,27,515,488,True
0,17,106,699,593,False
0,55,240,607,367,False
-1,549,41,829,788,True
1,201,516,1016,500,False
1,754,610,148,-462,True
0,505,621,353,-268,False
1,427,273,807,534,False
0,337,573,506,-67,False
1,414,997,259,-738,False
0,149,241,878,637,False
0,783,424,651,227,True
-1,658,146,509,363,True
1,1000,506,329,-177,True
1,98,562,545,-17,False
-1,224,276,72,-204,False
0,921,983,806,-177,True
-1,749,291,618,327,True
-1,453,318,770,452,False
0,505,831,961,130,False
0,424,100,439,339,False
-1,268,910,861,-49,False
0,359,543,872,329,False
-1,856,743,816,73,True
1,268,4,362,358,False
-1,22,684,20,-664,False
1,475,228,1092,864,False
-1,387,989,247,-742,False
-1,892,30,178,148,True
-1,428,94,316,222,False
-1,806,319,752,433,True
-1,717,913,762,-151,True
0,903,373,325,-48,True
0,598,326,543,217,True
0,399,822,145,-677,False
1,962,8,1021,1013,True
1,837,325,662,337,True
1,562,82,336,254,False
-1,685,157,-60,-217,True
0,146,947,615,-332,False
-1,553,655,73,-582,True
-1,241,455,-54,-509,False
1,443,415,921,506,False
0,798,330,590,260,True
0,291,989,613,-376,False
-1,251,325,240,-85,False
1,149,718,939,221,False
1,510,319,469,150,False
0,862,770,666,-104,True
0,227,571,340,-231,False
1,83,491,610,119,False
0,267,902,206,-696,False
0,487,933,553,-380,False
-1,513,696,50,-646,True
1,787,842,999,157,True
1,691,343,830,487,True
-1,741,883,72,-811,True
1,690,947,289,-658,True
1,399,327,1013,686,False
1,992,186,173,-13,True
-1,316,170,171,1,False
0,530,74,511,437,False
0,816,601,473,-128,True
1,311,1000,774,-226,False
-1,667,25,301,276,True
-1,227,719,688,-31,False
-1,7,132,283,151,False
0,43,881,935,54,False
1,188,784,647,-137,False
1,314,24,1025,1001,False
1,311,144,151,7,False
-1,777,493,602,109,True
-1,13,564,498,-66,False
0,372,96,22,-74,False
1,882,107,1073,966,True
1,450,414,209,-205,False
0,88,474,954,480,False
0,451,11,933,922,False
0,31,103,843,740,False
0,39,668,741,73,False
1,157,40,843,803,False
1,973,908,945,37,True
0,515,940,722,-218,True
1,341,109,605,496,False
0,220,666,760,94,False
-1,971,659,595,-64,True
-1,404,516,825,309,False
-1,109,921,610,-311,False
0,299,148,373,225,False
-1,633,955,-81,-1036,True
1,599,263,562,299,False
-1,537,301,99,-202,True
-1,236,997,791,-206,False
-1,662,844,833,-11,True
0,182,302,324,22,False
0,401,945,858,-87,False
1,607,639,444,-195,False
1,38,738,1051,313,False
-1,163,485,-31,-516,False
0,280,197,345,148,False
0,394,802,983,181,False
0,54,552,435,-117,False
0,166,52,290,238,False
-1,182,225,110,-115,False
1,721,187,839,652,True
-1,503,968,552,-416,True
1,603,207,688,481,False
-1,130,123,202,79,False
1,335,100,436,336,False
-1,413,855,664,-191,False
1,534,890,192,-698,False
-1,245,88,570,482,False
1,113,550,641,91,False
-1,462,227,321,94,True
1,985,237,1088,851,True
0,430,318,222,-96,False
0,200,963,230,-733,False
-1,261,196,437,241,False
1,505,548,691,143,False
1,107,66,622,556,False
-1,271,184,-70,-254,False
1,84,574,957,383,False
1,879,27,301,274,True
0,665,776,198,-578,True
1,201,365,228,-137,False
-1,840,149,223,74,True
1,805,276,668,392,True
1,444,533,868,335,False
1,361,949,1035,86,False
0,723,484,86,-398,True
0,724,438,215,-223,True
0,690,390,737,347,True
